ElTorque,ShTorque,Bicep,Tricep,AntDel,MedDel,PosDel,Pec,LowerTrap,MidTrap,Task,TrialNr,Su,Arm
8.434214819999957,2.931916786000009,0.11863346677356895,0.19022859194215552,0.0853049352406893,0.11154305865427709,0.06493513705002252,0.17191059979568155,0.2335566565322531,0.07001103753035746,10%,1.0,c07,Right
7.627047756000008,4.139059051999987,0.11605670456428842,0.17837113454197043,0.10614577404234365,0.11012581532269829,0.06231868477049818,0.23136218805491945,0.24864418733272953,0.07453984232300125,10%,2.0,c07,Right
8.246822032000049,4.165086869999981,0.1305105316020246,0.1963199922633556,0.09043314867544414,0.10857970769516416,0.06130105571235042,0.16350105834515843,0.2446065908996557,0.06785788505650849,10%,3.0,c07,Right
8.53592853800001,2.9638070559999954,0.12632213713386692,0.16925165022536506,0.07561612199051126,0.10373057299179042,0.06307252606817723,0.22718450765611597,0.23747601719465783,0.05861075361067883,10%,4.0,c07,Right
8.352672869999921,2.773541000000018,0.13363745618907313,0.18417422371597703,0.0914232995283376,0.11283572678884564,0.06277546236461391,0.16269419947652095,0.2351157178541874,0.06684767334609648,10%,5.0,c07,Right
8.429531364000072,4.018206370000005,0.1557245988124721,0.1890533648696525,0.11781880322379844,0.1224319309826817,0.06625251112187464,0.1675371673610406,0.24364855830041196,0.10246782000576096,10%,6.0,c07,Right
8.531603796000029,4.063669872000004,0.11255353824402063,0.18838061591195426,0.11174259681242926,0.11844600370461256,0.06319857728127173,0.22905880421807767,0.24181213255030393,0.08394320740209794,10%,7.0,c07,Right
8.826466981999983,4.105277999999999,0.10765338829501608,0.1869004848864347,0.1198468814044402,0.1285287115433591,0.06931619140988748,0.23079435935224218,0.24247500173714626,0.08613076820743962,10%,8.0,c07,Right
8.303456530000053,3.0007960180000186,0.1048947600548463,0.19365257607658004,0.08797913994891034,0.11200282017210815,0.06308476134562092,0.22673681233131954,0.24270871318741666,0.07998522811516545,10%,9.0,c07,Right
8.577136776000003,4.0020097100000145,0.11829269881353704,0.18562934074045864,0.11080223417181072,0.12987189149062883,0.06653423524298119,0.22092105069623016,0.2369657509604631,0.08150775734734474,10%,10.0,c07,Right
8.398698586000016,9.064958999999957,0.14492260107270924,0.18741970200884556,0.16484177402614153,0.1369923611519533,0.06993106959190903,0.23592096766149082,0.2642055103327822,0.1631069150610495,30%,1.0,c07,Right
8.437015972000006,10.05384060000004,0.17809785109219642,0.2155285621809826,0.2560927308887302,0.21861117503950198,0.11723978279812329,0.2275444905548776,0.2552861436945146,0.22115067714462258,30%,2.0,c07,Right
8.65595138799993,8.726004000000076,0.1678611283710294,0.21901289186835365,0.22736555937138395,0.1898054089810469,0.11598591334224914,0.16191926390083983,0.25700687953987467,0.18435546621297325,30%,3.0,c07,Right
8.825855242000008,10.100077000000049,0.1814628097262126,0.23541587634787228,0.2105064883877918,0.220439975373151,0.12702375199816318,0.23246358987108093,0.2771289423400359,0.17564793585467167,30%,4.0,c07,Right
8.53750040600003,8.86286280800005,0.17627268230671087,0.22243973639420941,0.20582918324072152,0.20301083101131892,0.10922930355810576,0.2597016985040327,0.2546991723798824,0.1759323382321466,30%,5.0,c07,Right
8.71680607400001,10.016242130000007,0.1456681507488984,0.21477394852235995,0.20034195637944685,0.17878488380490254,0.1125827223600053,0.2513556819433892,0.25150379487568975,0.17703990620206114,30%,6.0,c07,Right
8.277380420000004,10.21547724399991,0.12638263421011608,0.19683243213741056,0.1742971766130247,0.13650048693500846,0.07219362961360747,0.23538637926557818,0.24594182198634684,0.15788151238378328,30%,7.0,c07,Right
7.66876939199995,10.09759716000005,0.17876811275849097,0.2228689172050879,0.21848356829827012,0.18262356757288553,0.1049533527746576,0.23417568128516264,0.24690517354158842,0.19325168782547317,30%,8.0,c07,Right
8.470301782000032,8.747171999999974,0.16322780393993258,0.2088256287239724,0.2256126278866532,0.19958301911476603,0.10679660015116525,0.22487082960905336,0.23790624687586326,0.19711474976185697,30%,9.0,c07,Right
